cik_str,ticker,title,processed
721371,CAH,CARDINAL HEALTH INC,False
93751,STT,STATE STREET CORP,False
1757898,STE,STERIS plc,False
1393612,DFS,Discover Financial Services,False
72741,ES,EVERSOURCE ENERGY,False
1110803,ILMN,"ILLUMINA, INC.",False
1280452,MPWR,MONOLITHIC POWER SYSTEMS INC,False
1383312,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",False
1874178,RIVN,"Rivian Automotive, Inc. / DE",False
943819,RMD,RESMED INC,False
48465,HRL,HORMEL FOODS CORP /DE/,False
63754,MKC,MCCORMICK & CO INC,False
40987,GPC,GENUINE PARTS CO,False
79282,BRO,"BROWN & BROWN, INC.",False
1031296,FE,FIRSTENERGY CORP,False
1651308,BGNE,"BeiGene, Ltd.",False
1585521,ZM,"Zoom Video Communications, Inc.",False
1687229,INVH,Invitation Homes Inc.,False
1014473,VRSN,VERISIGN INC/CA,False
915913,ALB,ALBEMARLE CORP,False
55067,K,KELLOGG CO,False
65984,ETR,ENTERGY CORP /DE/,False
1096343,MKL,MARKEL GROUP INC.,False
1121788,GRMN,GARMIN LTD,False
1175454,FLT,FLEETCOR TECHNOLOGIES INC,False
906163,NVR,NVR INC,False
1403568,ULTA,"Ulta Beauty, Inc.",False
1353283,SPLK,SPLUNK INC,False
1477333,NET,"Cloudflare, Inc.",False
29905,DOV,DOVER Corp,False
46619,HEI,HEICO CORP,False
728535,JBHT,HUNT J B TRANSPORT SERVICES INC,False
798941,FCNCA,FIRST CITIZENS BANCSHARES INC /DE/,False
1094285,TDY,TELEDYNE TECHNOLOGIES INC,False
1179929,MOH,"MOLINA HEALTHCARE, INC.",False
815097,CCL,CARNIVAL CORP,False
1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",False
10456,BAX,BAXTER INTERNATIONAL INC,False
4281,HWM,Howmet Aerospace Inc.,False
943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,False
100493,TSN,"TYSON FOODS, INC.",False
1618921,WBA,"Walgreens Boots Alliance, Inc.",False
1397911,LPLA,LPL Financial Holdings Inc.,False
1335258,LYV,"Live Nation Entertainment, Inc.",False
922224,PPL,PPL Corp,False
1679788,COIN,"Coinbase Global, Inc.",False
84839,ROL,ROLLINS INC,False
1126328,PFG,PRINCIPAL FINANCIAL GROUP INC,False
1020569,IRM,IRON MOUNTAIN INC,False
1506293,PINS,"PINTEREST, INC.",False
1274494,FSLR,"FIRST SOLAR, INC.",False
35527,FITB,FIFTH THIRD BANCORP,False
1805284,RKT,"Rocket Companies, Inc.",False
940944,DRI,DARDEN RESTAURANTS INC,False
920148,LH,LABORATORY CORP OF AMERICA HOLDINGS,False
1823945,OWL,BLUE OWL CAPITAL INC.,False
51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,False
859737,HOLX,HOLOGIC INC,False
1567094,CNHI,CNH Industrial N.V.,False
20286,CINF,CINCINNATI FINANCIAL CORP,False
857005,PTC,PTC INC.,False
1125259,CUK,CARNIVAL PLC,False
822416,PHM,PULTEGROUP INC/MI/,False
1463101,ENPH,"Enphase Energy, Inc.",False
746515,EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,False
1095073,EG,"EVEREST GROUP, LTD.",False
731802,ATO,ATMOS ENERGY CORP,False
21076,CLX,CLOROX CO /DE/,False
11544,WRB,BERKLEY W R CORP,False
1281761,RF,REGIONS FINANCIAL CORP,False
